标题长度	链接	视频	图片	艾特	时间	话题	星期	min_min 	min_max	min_mean	max_min	max_max	max_mean	mean_min	mean_max	mean_mean	popular
19	0	0	5	0	1437	1	4	244	9727	1830	1561	10389	6485	1648	3190	2419	1
13	0	0	1	0	1433	1	4	222	24246	2739	739	6703	3721	294	6736	3515	0
21	0	0	9	0	1394	1	4	460	4844	1555	765	12780	3123	1543	2655	2206	0
19	0	0	9	0	1379	0	4	1044	1905	1474	222	24246	2739	350	7573	1829	1
17	0	0	9	0	1367	1	4	243	1459	898	216	23474	5541	919	2733	1900	0
28	0	0	9	0	1357	0	4	242	242	242	5536	5536	5536	209	6697	2628	1
21	0	0	9	0	1346	0	4	798	1017	930	816	19096	4978	311	12421	3160	1
19	0	0	1	0	1326	0	4	286	1177	731	283	63557	6090	106	26148	2076	0
10	0	0	1	0	1307	1	4	996	996	996	388	26198	5461	449	20725	3080	0
8	0	0	1	0	1287	1	4	559	4879	2299	262	35427	4729	262	35427	4729	0
13	0	0	2	0	1282	0	4	294	603	424	191	100712	3088	353	2656	1118	0
17	0	0	1	0	1267	0	4	237	1096	628	52	268284	3746	242	6736	1316	0
16	0	0	4	0	1248	0	4	942	942	942	201	104171	3255	237	18367	1640	0
13	0	0	9	0	1217	1	4	261	9529	1605	307	268284	14297	188	268284	5169	1
20	0	0	9	0	1210	1	4	1019	1550	1284	625	65209	10476	124	34170	3015	1
24	0	0	1	0	488	0	4	131	8063	1269	2039	26198	9244	212	37189	2970	1
15	0	0	2	0	460	1	4	164	5244	1258	188	268284	5169	1561	1561	1561	1
6	0	0	9	0	440	1	4	380	23390	3864	380	23390	3864	380	23390	3864	1
8	0	0	9	0	420	1	4	1188	11206	2922	201	104171	3255	201	104171	3255	1
11	0	0	4	0	1430	0	3	267	10819	2545	247	20349	2710	247	20349	2710	1
16	1	0	4	0	1405	1	3	390	7021	1915	2224	6946	4455	329	34265	3570	0
9	0	0	6	0	1379	0	3	180	26198	2815	1274	6181	3920	2671	3076	2873	1
17	0	0	1	0	1353	0	3	328	1235	631	237	50105	2612	1544	1544	1544	1
9	0	0	9	0	1314	1	3	1477	2117	1667	1477	2117	1667	1477	2117	1667	1
19	0	0	4	0	1275	0	3	2277	2277	2277	2277	12814	6769	295	7569	2394	1
16	0	0	9	0	1239	1	3	242	9761	1394	476	50105	6957	52	50105	4380	1
27	0	0	9	0	1208	0	3	367	1034	608	311	140765	8153	1034	3719	2324	0
23	0	0	4	0	1175	0	3	142	50105	2358	1358	14130	6841	215	17742	3153	1
23	0	0	9	0	1145	1	3	295	295	295	644	4226	2360	237	18367	1640	0
13	0	0	1	0	1128	1	3	256	547	401	142	50105	2358	266	11179	1437	0
18	0	0	9	0	460	1	3	689	3883	1615	409	34265	7415	378	21036	2122	1
12	1	0	9	0	440	1	3	286	37189	4179	8060	8060	8060	572	29363	5356	1
6	0	0	1	0	420	1	3	953	1597	1275	953	1597	1275	953	1597	1275	1
20	0	0	9	0	1414	1	2	806	1647	1226	741	25687	5289	309	11759	1932	1
21	0	0	1	0	1380	1	2	286	3352	1198	930	15074	5660	309	11759	1932	1
9	0	0	9	0	1351	0	2	438	1084	827	292	29363	2981	275	11585	2224	1
12	0	0	1	0	1325	0	2	614	816	715	413	27756	4960	3426	3426	3426	1
20	0	0	0	0	1291	1	2	949	1450	1199	258	50105	2847	1450	3352	1968	1
24	0	0	9	0	1256	0	2	438	2253	1064	249	28968	3041	215	13675	1987	1
14	0	0	1	0	1231	0	2	460	8554	2626	310	27756	5997	90	140765	2971	1
24	0	0	1	0	1181	0	2	305	597	451	770	7172	3971	287	13272	1937	0
13	0	0	9	0	1166	0	2	895	2602	1487	843	3045	1756	244	6334	1708	1
13	0	0	1	0	1134	1	2	256	547	401	147	37189	2347	266	11179	1437	0
27	0	0	1	0	1110	0	2	345	345	345	180	18367	2049	667	667	667	0
20	0	0	9	0	1328	1	1	244	999	520	342	21436	3311	151	26247	1679	0
22	1	0	6	0	1302	1	1	597	911	754	317	31164	3691	178	18916	1264	0
24	0	0	1	0	1279	0	1	304	748	563	462	268284	9700	184	10258	1629	1
21	0	0	6	0	1242	0	1	266	2028	1147	261	11438	3904	169	13675	2466	1
18	0	0	4	0	1211	0	1	295	295	295	514	6242	2499	420	3590	830	0
11	0	0	1	0	1184	0	1	248	18440	1918	632	20725	6112	400	13347	2860	1
22	0	0	1	0	1156	0	1	388	388	388	886	12780	4534	529	2405	1189	0
20	0	0	7	1	1141	0	1	253	253	253	222	24246	2739	131	5498	1310	1
13	0	0	1	0	1121	1	1	256	547	401	281	21036	2524	266	11179	1437	0
21	0	0	6	0	1089	1	1	641	1865	1053	964	15155	6384	636	6441	1640	0
19	0	0	9	0	1056	1	1	265	3590	817	403	9386	2998	540	4122	1544	0
28	0	0	1	0	1026	1	1	321	402	369	227	13840	2389	163	4856	961	0
3	0	0	2	1	1006	0	1	298	40260	4364	298	40260	4364	298	40260	4364	1
18	0	0	1	0	986	1	1	380	380	380	237	21036	6096	287	7758	1336	0
12	0	0	0	0	963	1	1	643	643	643	642	8519	3277	284	2606	1353	0
13	0	0	4	0	1156	0	0	170	929	460	154	6441	1283	302	1278	656	0
13	0	0	1	0	1129	1	0	256	547	401	172	18839	2566	266	11179	1437	0
18	0	0	0	0	1123	0	0	131	979	426	429	8486	4457	409	5103	1733	1
20	0	0	6	0	1090	0	0	793	793	793	385	18916	2163	229	10266	1694	1
18	0	0	6	0	1064	0	0	410	3893	1677	194	9821	3423	194	9821	3423	1
18	0	0	4	0	1043	0	0	781	781	781	5197	12868	8061	511	14665	6312	1
26	0	0	1	0	1021	1	0	242	242	242	5863	5863	5863	65	5863	1259	1
11	0	0	4	0	1007	0	0	170	929	460	154	6361	1570	154	6361	1570	0
12	0	0	1	0	986	0	0	281	3758	1029	340	34170	5262	125	104171	2396	1
16	0	0	1	0	955	0	0	275	15812	3418	4915	15812	10363	498	15812	5041	1
10	0	0	1	0	927	1	0	131	8063	1269	233	268284	5576	237	19461	2080	1
25	0	0	1	0	912	1	0	211	2786	904	160	21389	1874	286	2786	1067	1
18	0	0	6	0	896	0	0	110	11708	1204	462	268284	9700	390	13443	2792	0
14	0	0	4	0	873	0	0	126	36410	2271	476	50105	6957	311	24642	3623	1
13	0	0	9	0	1092	0	6	193	1515	647	278	13612	2138	65	17411	1466	0
22	0	0	9	0	1024	0	6	311	311	155	442	26148	3929	281	6387	1097	1
21	0	0	8	0	995	1	6	417	417	417	599	52816	11262	1738	1973	1855	0
11	0	0	9	0	975	1	6	460	4844	1555	1475	12780	5190	1543	4844	3014	1
19	0	0	2	0	951	0	6	206	6769	2344	517	37189	5384	540	8778	3311	1
12	0	0	4	0	919	1	6	400	3655	2006	3655	3655	3655	292	16396	3417	1
25	0	0	1	0	889	0	6	284	2606	1353	6199	12438	8901	313	31164	4421	1
16	0	0	9	0	863	0	6	152	3446	1120	329	23115	4359	249	17898	1869	1
7	0	0	9	0	839	0	6	237	18367	1640	255	24642	2721	462	9480	2166	0
14	0	1	0	0	821	0	6	781	2805	1793	2396	13443	5224	2900	2900	2900	1
25	0	0	9	0	796	0	6	308	1751	768	242	140765	3975	163	14665	1388	0
25	0	0	9	0	760	0	6	172	6036	1678	263	268284	6015	333	6574	2104	1
20	0	0	9	1	733	0	6	151	26247	1679	906	13272	7089	163	268284	3395	1
29	0	0	4	0	709	0	6	237	2361	1161	244	268284	5214	305	7172	2050	0
22	0	0	9	0	1103	0	5	1010	1010	1010	1010	14188	7599	830	5186	2651	0
21	0	0	1	0	1077	0	5	319	319	319	244	268284	5214	215	11991	2494	0
16	0	0	1	1	1063	0	5	423	452	437	1239	37189	11050	188	8077	2267	0
14	0	0	1	0	1043	0	5	159	5217	726	233	268284	5576	154	6574	1484	0
15	0	1	0	0	1025	0	5	315	2463	902	279	28785	4735	248	18098	2568	1
12	0	0	1	0	1003	1	5	388	1339	863	262	35427	4729	237	18367	1640	0
4	0	0	9	0	982	1	5	4109	4109	4109	4109	4109	4109	4109	4109	4109	1
19	1	0	9	0	970	1	5	286	2702	986	305	17411	4800	229	10534	1770	0
23	0	1	0	0	945	0	5	201	6302	888	435	10266	4562	143	26335	2234	0
12	0	0	2	0	916	0	5	113	1361	650	439	27200	5342	315	4471	1554	0
17	0	0	2	0	879	0	5	420	5414	1928	3053	29363	10964	5414	5414	5414	1
18	0	0	1	0	852	1	5	156	7548	970	3447	3447	3447	180	26335	2301	0
12	0	0	2	0	834	0	5	1449	1449	1449	1308	5875	3085	1449	1449	1449	0
17	0	0	1	0	807	0	5	210	876	485	200	12888	2728	281	5714	996	0
14	0	0	1	0	783	1	5	180	911	497	180	18367	2049	180	10893	1399	0
22	0	0	1	0	846	0	4	853	853	426	2404	2404	2404	333	2656	1127	0
19	0	0	9	0	824	0	4	283	9397	1928	306	40832	3493	492	7441	3006	0
15	0	0	1	0	798	1	4	285	4285	942	212	37189	3000	216	7293	1564	0
16	0	0	9	1	775	0	4	468	468	468	200	11685	1688	154	6361	1570	0
19	0	0	9	0	742	0	4	189	1286	555	162	27756	2333	287	7142	1421	0
19	0	0	2	0	710	0	4	1491	1491	1491	385	40260	5691	52	26198	1943	1
15	0	0	2	0	663	0	4	587	587	587	172	6036	1678	587	1552	1069	0
20	0	0	9	0	640	1	4	532	532	532	6965	6965	6965	514	6242	2499	0
15	0	0	9	0	632	0	4	1563	1563	1563	462	9480	2166	578	5469	1586	0
21	0	0	2	0	602	0	4	458	458	458	151	268284	5134	2075	2846	2460	0
21	0	0	1	0	591	0	4	396	396	396	396	5523	1889	391	1898	1056	0
12	0	0	9	0	561	1	4	201	6302	888	143	26335	2234	163	14665	1388	1
19	0	0	0	0	533	0	4	201	7601	1228	201	104171	3255	147	37189	2347	0
18	0	0	5	0	717	0	3	170	3263	863	395	17898	5052	154	17742	2974	0
25	0	0	1	0	685	0	3	189	1384	636	162	27756	2333	65	17411	1466	1
13	0	0	9	0	664	0	3	388	2733	1394	400	13347	2860	1818	2733	2247	1
20	0	1	0	0	638	0	3	188	6766	1522	380	15961	3455	201	25100	2495	0
15	0	0	2	0	633	0	3	346	27200	3015	244	104171	4721	2668	6990	4300	1
14	0	0	9	0	605	1	3	554	4374	1920	191	65209	4491	4374	4374	4374	1
27	0	0	0	0	583	1	3	308	1751	768	142	268284	3428	621	6964	1582	0
22	0	0	6	0	578	0	3	737	737	737	469	11991	3268	292	1486	839	0
17	0	0	2	0	553	0	3	479	1845	959	329	34265	3570	382	7394	3127	0
21	0	0	0	0	527	1	3	147	2054	632	140	48620	2448	742	6242	2228	0
16	0	0	9	0	494	0	3	735	1066	900	198	14532	2788	624	2859	1421	1
20	0	0	9	0	460	0	3	154	10149	1011	306	40832	3493	462	9480	2166	1
